_id,actor_id,last_update,product,quantity
61d4dce80f6f8823f6b7fdf7,1,18,1001,4
61d4dce80f6f8823f6b7fdf8,0,19,1001,6
61d4dce80f6f8823f6b7fdf9,1,24,1001,2
61d4dce80f6f8823f6b7fdfa,2,24,2001,99
61d4dce80f6f8823f6b7fdfb,0,25,1001,2
61d4dce80f6f8823f6b7fdfc,1,25,2001,1
61d4dce80f6f8823f6b7fdfd,1,25,1001,1
61d4dce80f6f8823f6b7fdfe,2,25,2001,98
61d4dce80f6f8823f6b7fdff,0,26,1001,1
61d4dce80f6f8823f6b7fe00,1,26,2001,1
61d4dce80f6f8823f6b7fe01,2,26,2001,97
61d4dce80f6f8823f6b7fe02,1,27,2001,1
61d4dce80f6f8823f6b7fe03,2,27,2001,96
61d4dce80f6f8823f6b7fe04,1,28,2001,1
61d4dce80f6f8823f6b7fe05,2,28,2001,95
61d4dce80f6f8823f6b7fe06,1,29,2001,1
61d4dce80f6f8823f6b7fe07,2,29,2001,94
61d4dce80f6f8823f6b7fe08,1,30,2001,1
61d4dce80f6f8823f6b7fe09,2,30,2001,93
61d4dce80f6f8823f6b7fe0a,1,31,2001,1
61d4dce80f6f8823f6b7fe0b,2,31,2001,92
61d4dce80f6f8823f6b7fe0c,1,32,2001,1
61d4dce80f6f8823f6b7fe0d,2,32,2001,91
61d4dce80f6f8823f6b7fe0e,1,33,2001,1
61d4dce80f6f8823f6b7fe0f,2,33,2001,90
61d4dce80f6f8823f6b7fe10,1,34,2001,1
61d4dce80f6f8823f6b7fe11,1,34,1001,0
61d4dce80f6f8823f6b7fe12,2,34,2001,89
61d4dce80f6f8823f6b7fe13,0,35,1001,1
61d4dce80f6f8823f6b7fe14,1,35,2001,1
61d4dce80f6f8823f6b7fe15,2,35,2001,88
61d4dce80f6f8823f6b7fe16,1,36,2001,1
61d4dce80f6f8823f6b7fe17,2,36,2001,87
61d4dce80f6f8823f6b7fe18,1,37,2001,1
61d4dce80f6f8823f6b7fe19,2,37,2001,86
61d4dce80f6f8823f6b7fe1a,1,38,2001,1
61d4dce80f6f8823f6b7fe1b,2,38,2001,85
61d4dce80f6f8823f6b7fe1c,1,39,2001,1
61d4dce80f6f8823f6b7fe1d,2,39,2001,84
61d4dce80f6f8823f6b7fe1e,1,40,2001,1
61d4dce80f6f8823f6b7fe1f,2,40,2001,83
61d4dce80f6f8823f6b7fe20,1,41,2001,1
61d4dce80f6f8823f6b7fe21,2,41,2001,82
61d4dce80f6f8823f6b7fe22,1,42,2001,1
61d4dce80f6f8823f6b7fe23,2,42,2001,81
61d4dce80f6f8823f6b7fe24,1,43,2001,1
61d4dce80f6f8823f6b7fe25,2,43,2001,80
61d4dce90f6f8823f6b7fe26,1,44,2001,1
61d4dce90f6f8823f6b7fe27,2,44,2001,79
61d4dce90f6f8823f6b7fe28,1,45,2001,1
61d4dce90f6f8823f6b7fe29,2,45,2001,78
61d4dce90f6f8823f6b7fe2a,1,46,2001,1
61d4dce90f6f8823f6b7fe2b,2,46,2001,77
61d4dce90f6f8823f6b7fe2c,1,47,2001,1
61d4dce90f6f8823f6b7fe2d,2,47,2001,76
61d4dce90f6f8823f6b7fe2e,1,48,2001,1
61d4dce90f6f8823f6b7fe2f,2,48,2001,75
61d4dce90f6f8823f6b7fe30,1,49,2001,1
61d4dce90f6f8823f6b7fe31,2,49,2001,74
61d4dce90f6f8823f6b7fe32,1,50,2001,1
61d4dce90f6f8823f6b7fe33,2,50,2001,73
61d4dce90f6f8823f6b7fe34,1,51,2001,1
61d4dce90f6f8823f6b7fe35,2,51,2001,72
61d4dce90f6f8823f6b7fe36,1,52,2001,1
61d4dce90f6f8823f6b7fe37,2,52,2001,71
61d4dce90f6f8823f6b7fe38,1,53,2001,1
61d4dce90f6f8823f6b7fe39,2,53,2001,70
61d4dce90f6f8823f6b7fe3a,1,54,2001,1
61d4dce90f6f8823f6b7fe3b,2,54,2001,69
61d4dce90f6f8823f6b7fe3c,1,55,2001,1
61d4dce90f6f8823f6b7fe3d,2,55,2001,68
61d4dce90f6f8823f6b7fe3e,1,56,2001,1
61d4dce90f6f8823f6b7fe3f,2,56,2001,67
61d4dce90f6f8823f6b7fe40,1,57,2001,1
61d4dce90f6f8823f6b7fe41,2,57,2001,66
61d4dce90f6f8823f6b7fe42,1,58,2001,1
61d4dce90f6f8823f6b7fe43,2,58,2001,65
61d4dce90f6f8823f6b7fe44,1,59,2001,1
61d4dce90f6f8823f6b7fe45,2,59,2001,64
61d4dce90f6f8823f6b7fe46,1,60,2001,1
61d4dce90f6f8823f6b7fe47,2,60,2001,63
61d4dce90f6f8823f6b7fe48,1,61,2001,1
61d4dce90f6f8823f6b7fe49,2,61,2001,62
61d4dce90f6f8823f6b7fe4a,1,62,2001,1
61d4dce90f6f8823f6b7fe4b,2,62,2001,61
61d4dce90f6f8823f6b7fe4c,1,63,2001,1
61d4dce90f6f8823f6b7fe4d,2,63,2001,60
61d4dce90f6f8823f6b7fe4e,1,64,2001,1
61d4dce90f6f8823f6b7fe4f,2,64,2001,59
61d4dce90f6f8823f6b7fe50,1,65,2001,1
61d4dce90f6f8823f6b7fe51,2,65,2001,58
61d4dce90f6f8823f6b7fe52,1,66,2001,1
61d4dce90f6f8823f6b7fe53,2,66,2001,57
61d4dce90f6f8823f6b7fe54,1,67,2001,1
61d4dce90f6f8823f6b7fe55,2,67,2001,56
61d4dce90f6f8823f6b7fe56,1,68,2001,1
61d4dce90f6f8823f6b7fe57,2,68,2001,55
61d4dce90f6f8823f6b7fe58,1,69,2001,1
61d4dce90f6f8823f6b7fe59,2,69,2001,54
61d4dce90f6f8823f6b7fe5a,1,70,2001,1
61d4dce90f6f8823f6b7fe5b,2,70,2001,53
61d4dce90f6f8823f6b7fe5c,1,71,2001,1
61d4dce90f6f8823f6b7fe5d,2,71,2001,52
61d4dce90f6f8823f6b7fe5e,1,72,2001,1
61d4dce90f6f8823f6b7fe5f,2,72,2001,51
61d4dce90f6f8823f6b7fe60,1,73,2001,1
61d4dce90f6f8823f6b7fe61,2,73,2001,50
