;day;id;in_stock
751;126;3001;6916
752;126;4001;10568
753;126;5001;612774
754;126;5001;105954726
755;126;1001;10377
756;127;2001;0
757;127;3001;6916
758;127;4001;10568
759;127;5001;612774
760;127;5001;105954726
761;127;1001;10377
762;128;2001;0
763;128;3001;6916
764;128;4001;10568
765;128;5001;612774
766;128;5001;105954726
767;128;1001;13408
768;129;2001;0
769;129;3001;6916
770;129;4001;10568
771;129;5001;612774
772;129;5001;105954726
773;129;1001;13408
774;130;2001;0
775;130;3001;6916
776;130;4001;10568
777;130;5001;612774
778;130;5001;105954726
779;130;1001;13408
780;131;2001;0
781;131;3001;6916
782;131;4001;10568
783;131;5001;612774
784;131;5001;105954726
785;131;1001;13408
786;132;2001;0
787;132;3001;6916
788;132;4001;10568
789;132;5001;612774
790;132;5001;105954726
791;132;1001;13408
792;133;2001;0
793;133;3001;6916
794;133;4001;10568
795;133;5001;612774
796;133;5001;105954726
797;133;1001;19470
798;134;2001;0
799;134;3001;6916
800;134;4001;10568
801;134;5001;612774
802;134;5001;105954726
803;134;1001;22501
804;135;2001;0
805;135;3001;6916
806;135;4001;10568
807;135;5001;612774
808;135;5001;105954726
809;135;1001;22501
810;136;2001;0
811;136;3001;6916
812;136;4001;10568
813;136;5001;612774
814;136;5001;105954726
815;136;1001;22501
816;137;2001;0
817;137;3001;6916
818;137;4001;10568
819;137;5001;612774
820;137;5001;105954726
821;137;1001;22501
822;138;2001;0
823;138;3001;6916
824;138;4001;10568
825;138;5001;612774
826;138;5001;105954726
827;138;1001;22501
828;139;2001;0
829;139;3001;6916
830;139;4001;10568
831;139;5001;612774
832;139;5001;105954726
833;139;1001;22501
834;140;2001;0
835;140;3001;6916
836;140;4001;10568
837;140;5001;612774
838;140;5001;105954726
839;140;1001;22501
840;141;2001;0
841;141;3001;6916
842;141;4001;10568
843;141;5001;612774
844;141;5001;105954726
845;141;1001;22501
846;142;2001;0
847;142;3001;6916
848;142;4001;10568
849;142;5001;612774
850;142;5001;105954726
851;142;1001;22501
852;143;2001;0
853;143;3001;6916
854;143;4001;10568
855;143;5001;612774
856;143;5001;105954726
857;143;1001;22501
858;144;2001;0
859;144;3001;6916
860;144;4001;10568
861;144;5001;612774
862;144;5001;105954726
863;144;1001;22501
864;145;2001;0
865;145;3001;6916
866;145;4001;10568
867;145;5001;612774
868;145;5001;105954726
869;145;1001;22501
870;146;2001;0
871;146;3001;6916
872;146;4001;10568
873;146;5001;612774
874;146;5001;105954726
875;146;1001;22501
876;147;2001;0
877;147;3001;6916
878;147;4001;10568
879;147;5001;612774
880;147;5001;105954726
881;147;1001;22501
882;148;2001;0
883;148;3001;6916
884;148;4001;10568
885;148;5001;612774
886;148;5001;105954726
887;148;1001;22501
888;149;2001;0
889;149;3001;6916
890;149;4001;10568
891;149;5001;612774
892;149;5001;105954726
893;149;1001;22501
894;150;2001;0
895;150;3001;6916
896;150;4001;10568
897;150;5001;612774
898;150;5001;105954726
899;150;1001;22501
900;151;2001;0
901;151;3001;6916
902;151;4001;10568
903;151;5001;612774
904;151;5001;105954726
905;151;1001;22501
906;152;2001;0
907;152;3001;6916
908;152;4001;10568
909;152;5001;612774
910;152;5001;105954726
911;152;1001;22501
912;153;2001;0
913;153;3001;6916
914;153;4001;10568
915;153;5001;612774
916;153;5001;105954726
917;153;1001;22501
918;154;2001;0
919;154;3001;6916
920;154;4001;10568
921;154;5001;612774
922;154;5001;105954726
923;154;1001;22501
924;155;2001;0
925;155;3001;6916
926;155;4001;10568
927;155;5001;612774
928;155;5001;105954726
929;155;1001;22501
930;156;2001;0
931;156;3001;6916
932;156;4001;10568
933;156;5001;612774
934;156;5001;105954726
935;156;1001;22501
936;157;2001;0
937;157;3001;6916
938;157;4001;10568
939;157;5001;612774
940;157;5001;105954726
941;157;1001;22501
942;158;2001;0
943;158;3001;6916
944;158;4001;10568
945;158;5001;612774
946;158;5001;105954726
947;158;1001;22501
948;159;2001;0
949;159;3001;6916
950;159;4001;10568
951;159;5001;612774
952;159;5001;105954726
953;159;1001;22501
954;160;2001;0
955;160;3001;6916
956;160;4001;10568
957;160;5001;612774
958;160;5001;105954726
959;160;1001;22501
960;161;2001;0
961;161;3001;6916
962;161;4001;10568
963;161;5001;612774
964;161;5001;105954726
965;161;1001;22501
966;162;2001;0
967;162;3001;6916
968;162;4001;10568
969;162;5001;612774
970;162;5001;105954726
971;162;1001;22501
972;163;2001;0
973;163;3001;6916
974;163;4001;10568
975;163;5001;612774
976;163;5001;105954726
977;163;1001;22501
978;164;2001;0
979;164;3001;6916
980;164;4001;10568
981;164;5001;612774
982;164;5001;105954726
983;164;1001;22501
984;165;2001;0
985;165;3001;6916
986;165;4001;10568
987;165;5001;612774
988;165;5001;105954726
989;165;1001;22501
990;166;2001;0
991;166;3001;6916
992;166;4001;10568
993;166;5001;612774
994;166;5001;105954726
995;166;1001;22501
996;167;2001;0
997;167;3001;6916
998;167;4001;10568
999;167;5001;612774
1000;167;5001;105954726
1001;167;1001;22501
1002;168;2001;0
1003;168;3001;6916
1004;168;4001;10568
1005;168;5001;612774
1006;168;5001;105954726
1007;168;1001;22501
1008;169;2001;0
1009;169;3001;6916
1010;169;4001;10568
1011;169;5001;612774
1012;169;5001;105954726
1013;169;1001;22501
1014;170;2001;0
1015;170;3001;6916
1016;170;4001;10568
1017;170;5001;612774
1018;170;5001;105954726
1019;170;1001;22501
1020;171;2001;0
1021;171;3001;6916
1022;171;4001;10568
1023;171;5001;612774
1024;171;5001;105954726
1025;171;1001;22501
1026;172;2001;0
1027;172;3001;6916
1028;172;4001;10568
1029;172;5001;612774
1030;172;5001;105954726
1031;172;1001;22501
1032;173;2001;0
1033;173;3001;6916
1034;173;4001;10568
1035;173;5001;612774
1036;173;5001;105954726
1037;173;1001;22501
1038;174;2001;0
1039;174;3001;6916
1040;174;4001;10568
1041;174;5001;612774
1042;174;5001;105954726
1043;174;1001;22501
1044;175;2001;0
1045;175;3001;6916
1046;175;4001;10568
1047;175;5001;612774
1048;175;5001;105954726
1049;175;1001;22501
1050;176;2001;0
1051;176;3001;6916
1052;176;4001;10568
1053;176;5001;612774
1054;176;5001;105954726
1055;176;1001;22501
1056;177;2001;0
1057;177;3001;6916
1058;177;4001;10568
1059;177;5001;612774
1060;177;5001;105954726
1061;177;1001;22501
1062;178;2001;0
1063;178;3001;6916
1064;178;4001;10568
1065;178;5001;612774
1066;178;5001;105954726
1067;178;1001;22501
1068;179;2001;0
1069;179;3001;6916
1070;179;4001;10568
1071;179;5001;612774
1072;179;5001;105954726
1073;179;1001;22501
1074;180;2001;0
1075;180;3001;6916
1076;180;4001;10568
1077;180;5001;612774
1078;180;5001;105954726
1079;180;1001;22501
1080;181;2001;0
1081;181;3001;6916
1082;181;4001;10568
1083;181;5001;612774
1084;181;5001;105954726
1085;181;1001;22501
1086;182;2001;0
1087;182;3001;6916
1088;182;4001;10568
1089;182;5001;612774
1090;182;5001;105954726
1091;182;1001;22501
1092;183;2001;0
1093;183;3001;6916
1094;183;4001;10568
1095;183;5001;612774
1096;183;5001;105954726
1097;183;1001;22501
1098;184;2001;0
1099;184;3001;6916
1100;184;4001;10568
1101;184;5001;612774
1102;184;5001;105954726
1103;184;1001;22501
1104;185;2001;0
1105;185;3001;6916
1106;185;4001;10568
1107;185;5001;612774
1108;185;5001;105954726
1109;185;1001;22501
1110;186;2001;0
1111;186;3001;6916
1112;186;4001;10568
1113;186;5001;612774
1114;186;5001;105954726
1115;186;1001;22501
1116;187;2001;0
1117;187;3001;6916
1118;187;4001;10568
1119;187;5001;612774
1120;187;5001;105954726
1121;187;1001;22501
1122;188;2001;0
1123;188;3001;6916
1124;188;4001;10568
1125;188;5001;612774
1126;188;5001;105954726
1127;188;1001;22501
1128;189;2001;0
1129;189;3001;6916
1130;189;4001;10568
1131;189;5001;612774
1132;189;5001;105954726
1133;189;1001;22501
1134;190;2001;0
1135;190;3001;6916
1136;190;4001;10568
1137;190;5001;612774
1138;190;5001;105954726
1139;190;1001;22501
1140;191;2001;0
1141;191;3001;6916
1142;191;4001;10568
1143;191;5001;612774
1144;191;5001;105954726
1145;191;1001;22501
1146;192;2001;0
1147;192;3001;6916
1148;192;4001;10568
1149;192;5001;612774
1150;192;5001;105954726
1151;192;1001;22501
1152;193;2001;0
1153;193;3001;6916
1154;193;4001;10568
1155;193;5001;612774
1156;193;5001;105954726
1157;193;1001;22501
1158;194;2001;0
1159;194;3001;6916
1160;194;4001;10568
1161;194;5001;612774
1162;194;5001;105954726
1163;194;1001;22501
1164;195;2001;0
1165;195;3001;6916
1166;195;4001;10568
1167;195;5001;612774
1168;195;5001;105954726
1169;195;1001;22501
1170;196;2001;0
1171;196;3001;6916
1172;196;4001;10568
1173;196;5001;612774
1174;196;5001;105954726
1175;196;1001;22501
1176;197;2001;0
1177;197;3001;6916
1178;197;4001;10568
1179;197;5001;612774
1180;197;5001;105954726
1181;197;1001;22501
1182;198;2001;0
1183;198;3001;6916
1184;198;4001;10568
1185;198;5001;612774
1186;198;5001;105954726
1187;198;1001;22501
1188;199;2001;0
1189;199;3001;6916
1190;199;4001;10568
1191;199;5001;612774
1192;199;5001;105954726
1193;199;1001;22501
1194;200;2001;0
1195;200;3001;6916
1196;200;4001;10568
1197;200;5001;612774
1198;200;5001;105954726
1199;200;1001;22501
1200;201;2001;0
1201;201;3001;6916
1202;201;4001;10568
1203;201;5001;612774
1204;201;5001;105954726
1205;201;1001;22501
1206;202;2001;0
1207;202;3001;6916
1208;202;4001;10568
1209;202;5001;612774
1210;202;5001;105954726
1211;202;1001;22501
1212;203;2001;0
1213;203;3001;6916
1214;203;4001;10568
1215;203;5001;612774
1216;203;5001;105954726
1217;203;1001;22501
1218;204;2001;0
1219;204;3001;6916
1220;204;4001;10568
1221;204;5001;612774
1222;204;5001;105954726
1223;204;1001;22501
1224;205;2001;0
1225;205;3001;6916
1226;205;4001;10568
1227;205;5001;612774
1228;205;5001;105954726
1229;205;1001;22501
1230;206;2001;0
1231;206;3001;6916
1232;206;4001;10568
1233;206;5001;612774
1234;206;5001;105954726
1235;206;1001;22501
1236;207;2001;0
1237;207;3001;6916
1238;207;4001;10568
1239;207;5001;612774
1240;207;5001;105954726
1241;207;1001;22501
1242;208;2001;0
1243;208;3001;6916
1244;208;4001;10568
1245;208;5001;612774
1246;208;5001;105954726
1247;208;1001;22501
1248;209;2001;0
1249;209;3001;6916
1250;209;4001;10568
1251;209;5001;612774
1252;209;5001;105954726
1253;209;1001;22501
1254;210;2001;0
1255;210;3001;6916
1256;210;4001;10568
1257;210;5001;612774
1258;210;5001;105954726
1259;210;1001;22501
1260;211;2001;0
1261;211;3001;6916
1262;211;4001;10568
1263;211;5001;612774
1264;211;5001;105954726
1265;211;1001;22501
1266;212;2001;0
1267;212;3001;6916
1268;212;4001;10568
1269;212;5001;612774
1270;212;5001;105954726
1271;212;1001;22501
1272;213;2001;0
1273;213;3001;6916
1274;213;4001;10568
1275;213;5001;612774
1276;213;5001;105954726
1277;213;1001;22501
1278;214;2001;0
1279;214;3001;6916
1280;214;4001;10568
1281;214;5001;612774
1282;214;5001;105954726
1283;214;1001;22501
1284;215;2001;0
1285;215;3001;6916
1286;215;4001;10568
1287;215;5001;612774
1288;215;5001;105954726
1289;215;1001;22501
1290;216;2001;0
1291;216;3001;6916
1292;216;4001;10568
1293;216;5001;612774
1294;216;5001;105954726
1295;216;1001;22501
1296;217;2001;0
1297;217;3001;6916
1298;217;4001;10568
1299;217;5001;612774
1300;217;5001;105954726
1301;217;1001;22501
1302;218;2001;0
1303;218;3001;6916
1304;218;4001;10568
1305;218;5001;612774
1306;218;5001;105954726
1307;218;1001;22501
1308;219;2001;0
1309;219;3001;6916
1310;219;4001;10568
1311;219;5001;612774
1312;219;5001;105954726
1313;219;1001;22501
1314;220;2001;0
1315;220;3001;6916
1316;220;4001;10568
1317;220;5001;612774
1318;220;5001;105954726
1319;220;1001;22501
1320;221;2001;0
1321;221;3001;6916
1322;221;4001;10568
1323;221;5001;612774
1324;221;5001;105954726
1325;221;1001;22501
1326;222;2001;0
1327;222;3001;6916
1328;222;4001;10568
1329;222;5001;612774
1330;222;5001;105954726
1331;222;1001;22501
1332;223;2001;0
1333;223;3001;6916
1334;223;4001;10568
1335;223;5001;612774
1336;223;5001;105954726
1337;223;1001;22501
1338;224;2001;0
1339;224;3001;6916
1340;224;4001;10568
1341;224;5001;612774
1342;224;5001;105954726
1343;224;1001;22501
1344;225;2001;0
1345;225;3001;6916
