Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
63,1001,11721,0,1000063,0,1
64,1001,11855,0,1000064,0,1
65,1001,11870,0,1000065,0,1
66,1001,11883,0,1000066,0,1
67,1001,11808,0,1000067,0,1
68,1001,11766,0,1000068,0,1
69,1001,11791,0,1000069,0,1
70,1001,11815,0,1000070,0,1
71,1001,11830,0,1000071,0,1
72,1001,11882,0,1000072,0,1
73,1001,11868,0,1000073,0,1
74,1001,11832,0,1000074,0,1
75,1001,11863,0,1000075,0,1
76,1001,11901,0,1000076,0,1
77,1001,11865,0,1000077,0,1
78,1001,11890,0,1000078,0,1
79,1001,11900,0,1000079,0,1
80,1001,11922,0,1000080,0,1
81,1001,11980,0,1000081,0,1
82,1001,11968,0,1000082,0,1
83,1001,12066,0,1000083,0,1
84,1001,12151,0,1000084,0,1
85,1001,12159,0,1000085,0,1
86,1001,12128,0,1000086,0,1
87,1001,12114,0,1000087,0,1
88,1001,12109,0,1000088,0,1
89,1001,12115,0,1000089,0,1
90,1001,12127,0,1000090,0,1
91,1001,12162,0,1000091,0,1
92,1001,12140,0,1000092,0,1
93,1001,12189,0,1000093,0,1
94,1001,12246,0,1000094,0,1
95,1001,12259,0,1000095,0,1
96,1001,12173,0,1000096,0,1
97,1001,12239,0,1000097,0,1
98,1001,12166,0,1000098,0,1
99,1001,12193,0,1000099,0,1
100,1001,12193,0,1000100,0,1
101,1001,12219,0,1000101,0,1
102,1001,12259,0,1000102,0,1
103,1001,12281,0,1000103,0,1
104,1001,12271,0,1000104,0,1
105,1001,12271,0,1000105,0,1
106,1001,12296,0,1000106,0,1
107,1001,12271,0,1000107,0,1
108,1001,12338,0,1000108,0,1
109,1001,12276,0,1000109,0,1
110,1001,12250,0,1000110,0,1
111,1001,12163,0,1000111,0,1
112,1001,12161,0,1000112,0,1
113,1001,12166,0,1000113,0,1
114,1001,12124,0,1000114,0,1
115,1001,12123,0,1000115,0,1
116,1001,12064,0,1000116,0,1
117,1001,12132,0,1000117,0,1
118,1001,12101,0,1000118,0,1
119,1001,12158,0,1000119,0,1
120,1001,12158,0,1000120,0,1
121,1001,12152,0,1000121,0,1
122,1001,12143,0,1000122,0,1
123,1001,12114,0,1000123,0,1
124,1001,12091,0,1000124,0,1
125,1001,12136,0,1000125,0,1
126,1001,12084,0,1000126,0,1
127,1001,12044,0,1000127,0,1
