,1-1001,1-1002,2-2001,3-3001,4-4001,5-5001,1-2001
44,99788,300000,39642,300000,300000,9999999999,0.0
45,88058,300000,39642,300000,300000,9999999999,0.0
46,76290,300000,39642,300000,300000,9999999999,0.0
47,64495,300000,39642,300000,300000,9999999999,0.0
48,52725,300000,39642,300000,300000,9999999999,0.0
49,40960,300000,39642,300000,300000,9999999999,0.0
50,29165,300000,39642,300000,300000,9999999999,0.0
51,17366,300000,39642,300000,300000,9999999999,0.0
52,5579,300000,39642,300000,300000,9999999999,0.0
53,5579,300000,39642,300000,300000,9999999999,0.0
54,5579,300000,39642,300000,300000,9999999999,0.0
55,5579,300000,39642,300000,300000,9999999999,0.0
56,5579,300000,39642,300000,300000,9999999999,0.0
57,5579,300000,39642,300000,300000,9999999999,0.0
58,5579,300000,39642,300000,300000,9999999999,0.0
59,5579,300000,39642,300000,300000,9999999999,0.0
60,5579,300000,39642,300000,300000,9999999999,0.0
61,5579,300000,39642,300000,300000,9999999999,0.0
62,5579,300000,39642,300000,300000,9999999999,0.0
63,5579,300000,39642,300000,300000,9999999999,0.0
64,5579,300000,39642,300000,300000,9999999999,0.0
65,5579,300000,39642,300000,300000,9999999999,0.0
66,5579,300000,39642,300000,300000,9999999999,0.0
67,5579,300000,39642,300000,300000,9999999999,0.0
68,5579,300000,39642,300000,300000,9999999999,0.0
69,5579,300000,39642,300000,300000,9999999999,0.0
70,5579,300000,39642,300000,300000,9999999999,0.0
71,5579,300000,39642,300000,300000,9999999999,0.0
72,5579,300000,39642,300000,300000,9999999999,0.0
73,5579,300000,39642,300000,300000,9999999999,0.0
74,5579,300000,39642,300000,300000,9999999999,0.0
75,5579,300000,39642,300000,300000,9999999999,0.0
76,5579,300000,39642,300000,300000,9999999999,0.0
77,5579,300000,39642,300000,300000,9999999999,0.0
78,5579,300000,39642,300000,300000,9999999999,0.0
79,5579,300000,39642,300000,300000,9999999999,0.0
80,5579,300000,39642,300000,300000,9999999999,0.0
81,5579,300000,39642,300000,300000,9999999999,0.0
82,5579,300000,39642,300000,300000,9999999999,0.0
83,5579,300000,39642,300000,300000,9999999999,0.0
84,5579,300000,39642,300000,300000,9999999999,0.0
85,5579,300000,39642,300000,300000,9999999999,0.0
86,5579,300000,39642,300000,300000,9999999999,0.0
87,5579,300000,39642,300000,300000,9999999999,0.0
88,5579,300000,39642,300000,300000,9999999999,0.0
89,5579,300000,39642,300000,300000,9999999999,0.0
90,5579,300000,39642,300000,300000,9999999999,0.0
91,5579,300000,39642,300000,300000,9999999999,0.0
92,5579,300000,39642,300000,300000,9999999999,0.0
93,5579,300000,39642,300000,300000,9999999999,0.0
94,5579,300000,39642,300000,300000,9999999999,0.0
95,5579,300000,39642,300000,300000,9999999999,0.0
96,5579,300000,39642,300000,300000,9999999999,0.0
97,5579,300000,39642,300000,300000,9999999999,0.0
98,5579,300000,39642,300000,300000,9999999999,0.0
99,5579,300000,39642,300000,300000,9999999999,0.0
100,5579,300000,39642,300000,300000,9999999999,0.0
101,5579,300000,39642,300000,300000,9999999999,0.0
102,5579,300000,39642,300000,300000,9999999999,0.0
103,5579,300000,39642,300000,300000,9999999999,0.0
104,5579,300000,39642,300000,300000,9999999999,0.0
105,5579,300000,39642,300000,300000,9999999999,0.0
106,5579,300000,39642,300000,300000,9999999999,0.0
107,5579,300000,39642,300000,300000,9999999999,0.0
108,5579,300000,39642,300000,300000,9999999999,0.0
109,5579,300000,39642,300000,300000,9999999999,0.0
110,5579,300000,39642,300000,300000,9999999999,0.0
111,5579,300000,39642,300000,300000,9999999999,0.0
112,5579,300000,39642,300000,300000,9999999999,0.0
113,5579,300000,39642,300000,300000,9999999999,0.0
114,5579,300000,39642,300000,300000,9999999999,0.0
115,5579,300000,39642,300000,300000,9999999999,0.0
116,5579,300000,39642,300000,300000,9999999999,0.0
117,5579,300000,39642,300000,300000,9999999999,0.0
118,5579,300000,39642,300000,300000,9999999999,0.0
119,5579,300000,39642,300000,300000,9999999999,0.0
120,5579,300000,39642,300000,300000,9999999999,0.0
121,5579,300000,39642,300000,300000,9999999999,0.0
122,5579,300000,39642,300000,300000,9999999999,0.0
123,5579,300000,39642,300000,300000,9999999999,0.0
124,5579,300000,39642,300000,300000,9999999999,0.0
125,5579,300000,39642,300000,300000,9999999999,0.0
126,5579,300000,39642,300000,300000,9999999999,0.0
127,5579,300000,39642,300000,300000,9999999999,0.0
128,5579,300000,39642,300000,300000,9999999999,0.0
129,5579,300000,39642,300000,300000,9999999999,0.0
