_id,actor_id,product,quantity,last_update
631677a68074c96885f5133a,4,5001,119163,16
631677a68074c96885f5133d,5,5001,9998447996,16
631677a68074c96885f51340,5,5001,9998435695,16
631677a68074c96885f51342,5,5001,9998386491,16
631677a68074c96885f51345,5,5001,9998337287,16
631677a68074c96885f51350,4,5001,162495,17
631677a68074c96885f51351,4,5001,162495,17
631677a78074c96885f51354,5,5001,9998324986,17
631677a78074c96885f51357,5,5001,9998312685,17
631677a78074c96885f51359,5,5001,9998263481,17
631677a78074c96885f5135c,5,5001,9998214277,17
631677a78074c96885f51367,4,5001,205827,18
631677a78074c96885f51368,4,5001,205827,18
631677a78074c96885f5136b,5,5001,9998201976,18
631677a78074c96885f5136e,5,5001,9998189675,18
631677a78074c96885f51370,5,5001,9998140471,18
631677a78074c96885f51373,5,5001,9998091267,18
631677a78074c96885f5137e,4,5001,216660,19
631677a78074c96885f5137f,4,5001,216660,19
631677a78074c96885f51382,5,5001,9998078966,19
631677a78074c96885f51385,5,5001,9998066665,19
631677a78074c96885f51387,5,5001,9998017461,19
631677a78074c96885f5138a,5,5001,9997968257,19
631677a78074c96885f51395,4,5001,259992,20
631677a78074c96885f51396,4,5001,259992,20
631677a78074c96885f51399,5,5001,9997955313,20
631677a78074c96885f5139c,5,5001,9997942369,20
631677a78074c96885f5139e,5,5001,9997890593,20
631677a78074c96885f513a1,5,5001,9997838817,20
631677a78074c96885f513ac,4,5001,303324,21
631677a78074c96885f513ad,4,5001,303324,21
631677a78074c96885f513b0,5,5001,9997825873,21
631677a78074c96885f513b3,5,5001,9997812929,21
631677a78074c96885f513b5,5,5001,9997761153,21
631677a78074c96885f513b8,5,5001,9997709377,21
631677a78074c96885f513c3,4,5001,314157,22
631677a78074c96885f513c4,4,5001,314157,22
631677a78074c96885f513c7,5,5001,9997696433,22
631677a78074c96885f513ca,5,5001,9997683489,22
631677a78074c96885f513cc,5,5001,9997631713,22
631677a78074c96885f513cf,5,5001,9997579937,22
631677a78074c96885f513da,4,5001,324990,23
631677a78074c96885f513db,4,5001,324990,23
631677a88074c96885f513de,5,5001,9997566993,23
631677a88074c96885f513e1,5,5001,9997554049,23
631677a88074c96885f513e3,5,5001,9997502273,23
631677a88074c96885f513e6,5,5001,9997450497,23
631677a88074c96885f513f1,4,5001,368322,24
631677a88074c96885f513f2,4,5001,368322,24
631677a88074c96885f513f5,5,5001,9997437553,24
631677a88074c96885f513f8,5,5001,9997424609,24
631677a88074c96885f513fa,5,5001,9997372833,24
631677a88074c96885f513fd,5,5001,9997321057,24
