Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
5201,2001,69245,1,2005144,0,2
5201,3001,507486,2,3005171,0,3
5202,1001,11077,0,1005202,0,1
5202,2001,69245,1,2005145,0,2
5202,3001,507544,2,3005172,0,3
5203,1001,11075,0,1005203,0,1
5203,2001,69238,1,2005146,0,2
5203,3001,507588,2,3005173,0,3
5204,1001,11137,0,1005204,0,1
5204,2001,69245,1,2005147,0,2
5204,3001,507639,2,3005174,0,3
5205,1001,11174,0,1005205,0,1
5205,2001,69251,1,2005148,0,2
5205,3001,507683,2,3005175,0,3
5206,1001,11146,0,1005206,0,1
5206,2001,69251,1,2005149,0,2
5206,3001,507720,2,3005176,0,3
5207,1001,11162,0,1005207,0,1
5207,2001,69251,1,2005150,0,2
5207,3001,507756,2,3005177,0,3
5208,1001,11115,0,1005208,0,1
5208,2001,69258,1,2005151,0,2
5208,3001,507786,2,3005178,0,3
5209,1001,11117,0,1005209,0,1
5209,2001,69258,1,2005152,0,2
5209,3001,507807,2,3005179,0,3
5210,1001,11097,0,1005210,0,1
5210,2001,69264,1,2005153,0,2
5210,3001,507829,2,3005180,0,3
5211,1001,11075,0,1005211,0,1
5211,2001,69270,1,2005154,0,2
5211,3001,507851,2,3005181,0,3
5212,1001,11080,0,1005212,0,1
5212,2001,69283,1,2005155,0,2
5212,3001,507866,2,3005182,0,3
5213,1001,11080,0,1005213,0,1
5213,2001,69295,1,2005156,0,2
5213,3001,507881,2,3005183,0,3
5214,1001,11080,0,1005214,0,1
5214,2001,69307,1,2005157,0,2
5214,3001,507895,2,3005184,0,3
5215,1001,11153,0,1005215,0,1
5215,2001,69339,1,2005158,0,2
5215,3001,507910,2,3005185,0,3
5216,1001,11189,0,1005216,0,1
5216,2001,69370,1,2005159,0,2
5216,3001,507932,2,3005186,0,3
5217,1001,11234,0,1005217,0,1
5217,2001,69409,1,2005160,0,2
5217,3001,507954,2,3005187,0,3
5218,1001,11234,0,1005218,0,1
5218,2001,69441,1,2005161,0,2
5218,3001,507983,2,3005188,0,3
5219,1001,11193,0,1005219,0,1
5219,2001,69466,1,2005162,0,2
5219,3001,508013,2,3005189,0,3
5220,1001,11147,0,1005220,0,1
5220,2001,69479,1,2005163,0,2
5220,3001,508042,2,3005190,0,3
5221,1001,11194,0,1005221,0,1
5221,2001,69504,1,2005164,0,2
5221,3001,508079,2,3005191,0,3
5222,1001,11172,0,1005222,0,1
5222,2001,69541,1,2005165,0,2
5222,3001,508123,2,3005192,0,3
5223,1001,11115,0,1005223,0,1
5223,2001,69560,1,2005166,0,2
5223,3001,508174,2,3005193,0,3
5224,1001,11110,0,1005224,0,1
5224,2001,69578,1,2005167,0,2
5224,3001,508226,2,3005194,0,3
5225,1001,11091,0,1005225,0,1
5225,2001,69597,1,2005168,0,2
5225,3001,508285,2,3005195,0,3
5226,1001,11126,0,1005226,0,1
5226,2001,69621,1,2005169,0,2
5226,3001,508358,2,3005196,0,3
5227,1001,11115,0,1005227,0,1
5227,2001,69639,1,2005170,0,2
5227,3001,508439,2,3005197,0,3
5228,1001,11142,0,1005228,0,1
5228,2001,69658,1,2005171,0,2
5228,3001,508527,2,3005198,0,3
5229,1001,11169,0,1005229,0,1
5229,2001,69677,1,2005172,0,2
5229,3001,508623,2,3005199,0,3
5230,1001,11108,0,1005230,0,1
5230,2001,69677,1,2005173,0,2
5230,3001,508726,2,3005200,0,3
5231,1001,11085,0,1005231,0,1
5231,2001,69677,1,2005174,0,2
5231,3001,508821,2,3005201,0,3
5232,1001,11115,0,1005232,0,1
5232,2001,69683,1,2005175,0,2
5232,3001,508931,2,3005202,0,3
5233,1001,11088,0,1005233,0,1
5233,2001,69683,1,2005176,0,2
5233,3001,509034,2,3005203,0,3
5234,1001,11091,0,1005234,0,1
5234,2001,69689,1,2005177,0,2
5234,3001,509136,2,3005204,0,3
5235,1001,11035,0,1005235,0,1
5235,2001,69670,1,2005178,0,2
5235,3001,509239,2,3005205,0,3
5236,1001,11025,0,1005236,0,1
5236,2001,69640,1,2005179,0,2
5236,3001,509327,2,3005206,0,3
5237,1001,11005,0,1005237,0,1
5237,2001,69609,1,2005180,0,2
5237,3001,509415,2,3005207,0,3
5238,1001,11001,0,1005238,0,1
5238,2001,69578,1,2005181,0,2
5238,3001,509495,2,3005208,0,3
5239,1001,11029,0,1005239,0,1
5239,2001,69559,1,2005182,0,2
5239,3001,509561,2,3005209,0,3
5240,1001,11052,0,1005240,0,1
5240,2001,69547,1,2005183,0,2
5240,3001,509634,2,3005210,0,3
5241,1001,11066,0,1005241,0,1
5241,2001,69541,1,2005184,0,2
5241,3001,509700,2,3005211,0,3
5242,1001,11048,0,1005242,0,1
5242,2001,69535,1,2005185,0,2
5242,3001,509758,2,3005212,0,3
5243,1001,11023,0,1005243,0,1
5243,2001,69523,1,2005186,0,2
5243,3001,509817,2,3005213,0,3
5244,1001,11003,0,1005244,0,1
5244,2001,69511,1,2005187,0,2
5244,3001,509868,2,3005214,0,3
5245,1001,10969,0,1005245,0,1
5245,2001,69486,1,2005188,0,2
5245,3001,509912,2,3005215,0,3
5246,1001,10951,0,1005246,0,1
5246,2001,69449,1,2005189,0,2
5246,3001,509934,2,3005216,0,3
5247,1001,10901,0,1005247,0,1
5247,2001,69394,1,2005190,0,2
5247,3001,509941,2,3005217,0,3
5248,1001,10914,0,1005248,0,1
5248,2001,69325,1,2005191,0,2
5248,3001,509919,2,3005218,0,3
5249,1001,10867,0,1005249,0,1
5249,2001,69251,1,2005192,0,2
5249,3001,509875,2,3005219,0,3
5250,1001,10842,0,1005250,0,1
5250,2001,69183,1,2005193,0,2
5250,3001,509810,2,3005220,0,3
5251,1001,10835,0,1005251,0,1
5251,2001,69122,1,2005194,0,2
5251,3001,509722,2,3005221,0,3
5252,1001,10816,0,1005252,0,1
5252,2001,69048,1,2005195,0,2
5252,3001,509620,2,3005222,0,3
5253,1001,10800,0,1005253,0,1
5253,2001,68974,1,2005196,0,2
5253,3001,509482,2,3005223,0,3
5254,1001,10790,0,1005254,0,1
5254,2001,68907,1,2005197,0,2
5254,3001,509329,2,3005224,0,3
5255,1001,10801,0,1005255,0,1
5255,2001,68845,1,2005198,0,2
5255,3001,509161,2,3005225,0,3
5256,1001,10818,0,1005256,0,1
5256,2001,68796,1,2005199,0,2
5256,3001,508972,2,3005226,0,3
5257,1001,10840,0,1005257,0,1
5257,2001,68733,1,2005200,0,2
5257,3001,508760,2,3005227,0,3
5258,1001,10875,0,1005258,0,1
5258,2001,68689,1,2005201,0,2
5258,3001,508542,2,3005228,0,3
5259,1001,10964,0,1005259,0,1
5259,2001,68651,1,2005202,0,2
5259,3001,508301,2,3005229,0,3
5260,1001,10977,0,1005260,0,1
